Anchor,url
,https://hashnode.com/@Regressor
Alao D. I.,https://hashnode.com/@Regressor
"Published on Aug 19, 2021",https://hashnode.com/post/my-first-365-days-of-coding-cksiesl90053gwqs1cft93fx6
,https://twitter.com/Wilder_Maxim
,https://github.com/invest41
Programming for Everyone Specialization,https://www.coursera.org/specializations/python
"Dr. Charles ""Chuck"" Severance",https://www.coursera.org/instructor/drchuck
EndSARS,https://en.m.wikipedia.org/wiki/End_SARS
EndSARS,https://en.m.wikipedia.org/wiki/End_SARS
EndSARS,https://en.m.wikipedia.org/wiki/End_SARS
2020 Lekki shooting,https://en.m.wikipedia.org/wiki/2020_Lekki_shooting
Programming with Mosh,https://youtube.com/c/programmingwithmosh
"My first GitHub repository, depicting my first milestone python project, Originally Written - Nov., 2020",https://github.com/invest41/Scrabble-Hack
World Quant University,https://www.wqu.edu/programs/data-science/
Data Science Nigeria's,https://www.datasciencenigeria.org/
Kaggle Competition,https://www.kaggle.com/c/data-science-nigeria-insurance-claims-competition/submissions
The Sparks Foundation,https://www.thesparksfoundationsingapore.org/
Udacity,https://www.udacity.com/scholarships/aws-machine-learning-scholarship-program
HTML5UP,https://html5up.net
My Deployed Portfolio,https://invest41.github.io/AlaoDavid.github.io/
,https://invest41.github.io/AlaoDavid.github.io/
My Latest Project,https://cvs-disease.herokuapp.com/
,https://cvs-disease.herokuapp.com/
Hamoye Data Science Internship Program (HDSC),https://hamoye.com/data-science-internship
Kaggle 30 days of Machine Learning Challenge,https://www.kaggle.com/c/30-days-of-ml/leaderboard
Project Portfolio,https://invest41.github.io/AlaoDavid.github.io/
GitHub,https://github.com/invest41
Twitter,https://mobile.twitter.com/Wilder_Maxim
Kaggle,https://www.kaggle.com/welcomehere
Linkedin,https://www.linkedin.com/in/david-alao-72362113b/
Tableau,https://public.tableau.com/app/profile/alao.david
#python,https://hashnode.com/n/python
#data-science,https://hashnode.com/n/data-science
#learning-journey,https://hashnode.com/n/learning-journey
,https://twitter.com/share?url=https%3A%2F%2Fhashnode.com%2Fpost%2Fmy-first-365-days-of-coding-cksiesl90053gwqs1cft93fx6&text=My%20First%20365%20Days%20of%20Coding%0D%0A%7B%20by%20%40Wilder_Maxim%20%7D%20from%20%40hashnode%0D%0A%0A%23python%20%23datascience%20%23learningjourney
